"gene"	"contrast_1_logFC_DGE_Glia_vs_Neuron"	"contrast_1_padj_DGE_Glia_vs_Neuron"	"contrast_1_lg10p_DGE_Glia_vs_Neuron"	"add_MA_cts_MA_Avg_DGE_Glia_vs_Neuron"	"X"	"Y"
"0610007P14Rik"	0.494536822680978	0.00123362641274468	2.90881634066596	0.257180412252766	0.257180412252766	0.494536822680978
"0610009B22Rik"	-0.432159999149051	0.1419312670474	0.847921920185075	0.0880561892379151	0.0880561892379151	-0.432159999149051
"0610009L18Rik"	1.02340868906904	0.0224932139146997	1.64794848650758	0.0362770519492815	0.0362770519492815	1.02340868906904
"0610009O20Rik"	0.482937743326744	0.00650721072645027	2.18660512905027	0.185415153957289	0.185415153957289	0.482937743326744
"0610010F05Rik"	-0.637630092231293	4.66013524386639e-13	12.331601479273	0.660631046587331	0.660631046587331	-0.637630092231293
"0610012G03Rik"	0.323057139111469	0.0425512272643867	1.37108790945802	0.259119373254209	0.259119373254209	0.323057139111469
"0610030E20Rik"	0.969372749834515	3.30846825109243e-09	8.48037302860132	0.217634190885757	0.217634190885757	0.969372749834515
"0610031O16Rik"	0	0	0	0.00231665988721642	0.00231665988721642	0
"0610037L13Rik"	0.529561809641309	0.0134428531322574	1.8715085461563	0.128899738998818	0.128899738998818	0.529561809641309
"0610038B21Rik"	2.25043451790831	0.0115630864065432	1.93692622902757	0.00886831249629686	0.00886831249629686	2.25043451790831
"0610040B10Rik"	0.359719225755381	0.346675755584418	0.46007652922353	0.0477554778797826	0.0477554778797826	0.359719225755381
"0610040F04Rik"	0.0278134012199868	0.949422572532777	0.0225404471385227	0.0548435109680067	0.0548435109680067	0.0278134012199868
"0610040J01Rik"	1.22025302535917	6.47986331783762e-20	19.1884341547675	0.351971431926496	0.351971431926496	1.22025302535917
"0610043K17Rik"	0.475867670488816	0.000197749457285526	3.70388469973028	0.357182103599133	0.357182103599133	0.475867670488816
"1010001B22Rik"	0	0	0	0.00757321372681296	0.00757321372681296	0
"1010001N08Rik"	1.7061140016845	0.0287204057625213	1.54180942866445	0.0145079200811749	0.0145079200811749	1.7061140016845
"1110001J03Rik"	0.836558506540768	4.47938883076907e-05	4.34878123723649	0.159760446665374	0.159760446665374	0.836558506540768
"1110002J07Rik"	0	0	0	0.00704698340447897	0.00704698340447897	0
"1110002L01Rik"	-0.00127636881829293	0.993629466770923	0.00277553767247315	0.274650423948259	0.274650423948259	-0.00127636881829293
"1110002O04Rik"	0	0	0	0.00216530807793872	0.00216530807793872	0
"1110004E09Rik"	0.749832103714741	0.0107766706602415	1.96751538916899	0.081992482059002	0.081992482059002	0.749832103714741
"1110004F10Rik"	0.123666645608705	0.310017319829218	0.508614042629797	0.406440036941683	0.406440036941683	0.123666645608705
"1110006O24Rik"	0	0	0	0.00288054753970818	0.00288054753970818	0
"1110008F13Rik"	0.897865394759017	3.07178556790724e-12	11.5126091043713	0.338854767341107	0.338854767341107	0.897865394759017
"1110008L16Rik"	0.965868019098057	5.7312229431377e-11	10.241752697267	0.286133455022948	0.286133455022948	0.965868019098057
"1110008P14Rik"	-1.11637305203193	5.99195404587812e-05	4.22243152603257	0.0961836853162374	0.0961836853162374	-1.11637305203193
"1110012L19Rik"	0.857392277204097	0.0303871484376966	1.51731005266368	0.0437097727394322	0.0437097727394322	0.857392277204097
"1110017D15Rik"	0.346165271391318	0.121935243662134	0.913870749543526	0.137681288651809	0.137681288651809	0.346165271391318
"1110019D14Rik"	1.73578299555189	6.55356481366271e-29	28.1835224011135	0.297407283606296	0.297407283606296	1.73578299555189
"1110020A21Rik"	0	0	0	0.00466564695529881	0.00466564695529881	0
"1110032A03Rik"	0.305241542310931	0.0702693200508785	1.15323424881912	0.233672016706497	0.233672016706497	0.305241542310931
"1110032F04Rik"	0	0	0	0.0201591068341217	0.0201591068341217	0
"1110034G24Rik"	0.180499166604934	0.245520094157364	0.609912958023547	0.295893743343295	0.295893743343295	0.180499166604934
"1110035H17Rik"	0.435557600141834	0.390655526628613	0.408206027319252	0.033297383059622	0.033297383059622	0.435557600141834
"1110037F02Rik"	0.483607108451816	8.95456425759257e-07	6.04795554271583	0.548641591013517	0.548641591013517	0.483607108451816
"1110038F14Rik"	1.1749827724801	1.02677653297188e-11	10.9885240657089	0.202323908929964	0.202323908929964	1.1749827724801
"1110046J04Rik"	0.235642847051726	0.194099451175733	0.711975692595604	0.222146460782674	0.222146460782674	0.235642847051726
"1110051M20Rik"	0.601968229840918	1.83529079097389e-24	23.7362951145672	1.14113396444106	1.14113396444106	0.601968229840918
"1110059E24Rik"	0.483102518016342	1.60851751875986e-05	4.79357420472825	0.437788926795	0.437788926795	0.483102518016342
"1110059G10Rik"	0.953527239158513	3.27272646288349e-05	4.48509029185811	0.121497308754119	0.121497308754119	0.953527239158513
"1110065P20Rik"	-1.13976644452698	2.13162890558838e-06	5.67128839921532	0.128692897779648	0.128692897779648	-1.13976644452698
"1190002N15Rik"	0.566410177187704	0.0773693550083669	1.11143102363451	0.0702867426065091	0.0702867426065091	0.566410177187704
"1190005I06Rik"	0	0	0	0.00518994120435855	0.00518994120435855	0
"1190007I07Rik"	0.969119352294679	0.00153945023987723	2.8126343443678	0.067827752851919	0.067827752851919	0.969119352294679
"1300002E11Rik"	1.04033723524275	2.60415372039274e-10	9.5843333834111	0.214787741727146	0.214787741727146	1.04033723524275
"1300017J02Rik"	1.10433222243397	0.00129690716131284	2.88709111163576	0.0589089990617968	0.0589089990617968	1.10433222243397
"1500002C15Rik"	0	0	0	0.00365642892140052	0.00365642892140052	0
"1500009C09Rik"	0	0	0	0.0142374776700787	0.0142374776700787	0
"1500009L16Rik"	-1.94436045685739	1.52488352977486e-18	17.8167633263551	0.175570524814607	0.175570524814607	-1.94436045685739
"1500011B03Rik"	-1.94493093913612	3.25282661718571e-13	12.4877390849525	0.111600857666945	0.111600857666945	-1.94493093913612
"1500011K16Rik"	0.126419490024024	0.544276166500197	0.264180682739829	0.163317826843193	0.163317826843193	0.126419490024024
