seurat_clusters	clusterName	clusterColor	clusterOrder
6	Ex_C6	#001219	1
16	Ex_C16	#003A52	2
11	Ex_C11	#00587A	3
9	Ex_C9	#0075A3	4
7	Ex_C7	#0092CC	5
8	Ex_C8	#00AFF5	6
13	Astro_C13	#0CBDC0	7
1	Astro_C1	#0A9396	8
2	Astro_C2	#077173	9
10	Astro_C10	#054C4D	10
15	Vasc_C15	#FFB01F	11
12	Vasc_C12	#EE9B00	12
17	Vasc_C17	#CC8500	13
5	Mglia_C5	#CA6702	14
19	OD_C19	#EA4334	15
3	OD_C3	#DE2817	16
18	OD_C18	#941B10	17
4	OD_C4	#6F140C	18
0	OD_C0	#4A0D08	19
14	Immune_C14	#BB3E03	20
