"DF_Classification"	"DF_pANN"
"Singlet"	0.256495669553631
"Singlet"	0.235176548967355
"Singlet"	0.194536975349767
"Singlet"	0.315789473684211
"Singlet"	0.213857428381079
"Singlet"	0.24383744170553
"Singlet"	0.259160559626915
"Singlet"	0.228514323784144
"Singlet"	0.216522318454364
"Singlet"	0.313124583610926
"Singlet"	0.27981345769487
"Singlet"	0.340439706862092
"Singlet"	0.183877415056629
"Singlet"	0.313790806129247
"Singlet"	0.271818787475017
"Singlet"	0.278481012658228
"Singlet"	0.30979347101932
"Singlet"	0.215856095936043
"Singlet"	0.235176548967355
"Singlet"	0.247168554297135
"Singlet"	0.270486342438374
"Singlet"	0.239173884077282
"Singlet"	0.267155229846769
"Singlet"	0.199866755496336
"Singlet"	0.335109926715523
"Singlet"	0.294470353097935
"Singlet"	0.266489007328448
"Singlet"	0.247168554297135
"Singlet"	0.22051965356429
"Singlet"	0.284477015323118
"Singlet"	0.29780146568954
"Singlet"	0.279147235176549
"Singlet"	0.308461025982678
"Singlet"	0.241838774150566
"Singlet"	0.307794803464357
"Singlet"	0.265156562291805
"Singlet"	0.305129913391073
"Singlet"	0.251165889407062
"Singlet"	0.233177881412392
"Singlet"	0.235176548967355
"Singlet"	0.235842771485676
"Singlet"	0.241838774150566
"Singlet"	0.275816122584943
"Singlet"	0.325116588940706
"Singlet"	0.275816122584943
"Singlet"	0.277148567621586
"Singlet"	0.195203197868088
"Singlet"	0.344437041972019
"Singlet"	0.271152564956696
"Singlet"	0.321119253830779
"Singlet"	0.321785476349101
"Singlet"	0.221185876082612
"Singlet"	0.277148567621586
"Singlet"	0.302465023317788
"Singlet"	0.201199200532978
"Singlet"	0.187874750166556
"Singlet"	0.219187208527648
"Singlet"	0.247168554297135
"Singlet"	0.263824117255163
"Singlet"	0.257161892071952
"Doublet"	0.403064623584277
"Singlet"	0.205196535642905
"Singlet"	0.283810792804797
"Singlet"	0.20852764823451
"Singlet"	0.294470353097935
"Singlet"	0.257161892071952
"Singlet"	0.26782145236509
"Singlet"	0.269820119920053
"Doublet"	0.348434377081945
"Singlet"	0.285143237841439
"Singlet"	0.261159227181879
"Singlet"	0.240506329113924
"Singlet"	0.332445036642239
